PAIS	CARNE_VERMELHA	 CARNE_BRANCA	 OVOS	 LEITE	 PEIXES	 CEREAIS	 CARBOIDRATOS	 GRAOS	 FRUTAS_LEGUMES
Albania	86.0	14.2	34.9	173.5	1.9	81.7	15.8	97.8	31.4
Alemanha	97.1	127.1	286.6	366.5	32.3	35.9	137.2	26.7	70.2
Austria	75.8	142.4	300.5	388.0	20.0	54.1	95.0	23.1	79.5
Belgica	115.0	94.6	286.6	341.2	42.8	51.4	150.4	37.3	73.9
Bulgaria	66.4	61.0	111.8	161.8	11.4	109.5	29.0	65.8	77.6
Croacia	37.5	50.8	83.9	185.2	5.7	108.0	79.2	101.4	59.1
Dinamarca	90.3	109.8	258.6	487.4	94.2	42.3	126.7	12.4	44.4
Eslovaquia	82.6	115.9	195.7	243.7	19.0	66.2	132.0	19.6	73.9
Espanha	60.5	34.6	216.7	167.7	66.6	56.4	150.4	104.9	133.1
Finlandia	80.9	49.8	188.7	657.0	55.2	50.8	134.6	17.8	25.9
Franca	153.3	100.7	230.6	380.2	54.2	54.3	126.7	42.7	120.1
Grecia	86.9	30.5	195.7	343.1	56.1	80.5	58.1	138.7	120.1
Holanda	80.9	138.3	251.6	456.2	23.8	43.3	110.8	32.0	68.4
Hungria	45.1	126.1	202.7	189.1	2.9	77.4	105.6	96.0	77.6
Irlanda	118.4	101.7	328.5	503.0	20.9	46.3	163.6	28.5	53.6
Italia	76.7	51.9	202.7	267.1	32.3	71.1	55.4	76.5	123.8
Noruega	80.1	47.8	188.7	454.2	92.3	44.4	121.4	28.5	49.9
Polonia	58.8	103.7	188.7	376.3	28.5	69.7	155.7	35.6	122.0
Portugal	52.8	37.6	76.9	95.5	135.1	52.1	155.7	83.6	146.0
Reino Unido	148.2	58.0	328.5	401.6	40.9	46.9	124.0	60.5	61.0
Republica Tcheca	71.5	117.9	258.6	216.4	51.4	47.5	171.6	14.2	66.5
Romenia	52.8	64.1	104.8	216.4	9.5	95.8	81.8	94.2	51.7
Suecia	84.3	79.3	244.6	481.5	71.3	37.7	97.7	24.9	37.0
Suica	111.6	102.7	216.7	464.0	21.9	49.4	73.9	42.7	90.6
Ucrania	79.2	46.8	146.8	323.6	28.5	84.2	168.9	60.5	53.6
